title_kor,year,genre_list,play_time,director,justwatch_rating,imdb_rating,imdb_rating_average,imdb_vote_count,synopsis,poster_src
여름으로 가는 문 -네가 있는 미래로-,-2021,['SF'],1시간 58분,None,64%,6.5,6.5,1,"An inventor of robotics technology is robbed by his girlfriend and business partner and sent to the future via cryogenic sleep. But when he awakes 30 years later, he is assisted by a humanoid robot originally his own creation.",https://images.justwatch.com/poster/247645322/s592
복사기,-2021,"['스릴러 , 범죄 , 드라마']",2시간 10분,Wregas Bhanuteja,79%,6.9 (2k),6.9,20,"대학 신입생 수르는 연극동아리에서 웹디자인을 맡고 있다. 준비한 초연이 성공적으로 마무리되고 파티에 초대된다. 신나는 음악과 즐거운 분위기에 취하지만 어느새 정신을 차려보니 중요한 장학금 심사면접에 늦을 정도로 늦잠을 자버린다. 그녀는 단지 술에 취해 기억을 잃은 것일까, 아니면 누군가가 의도한 함정에 빠진 것일까?",https://images.justwatch.com/poster/258567628/s592
마더/안드로이드,-2021,"['스릴러 , 드라마 , SF']",1시간 51분,Mattson Tomlin,64%,4.8 (15k),4.8,150,안드로이드가 반란을 일으켜 모든 것을 장악해버린 세상. 출산을 앞둔 젊은 커플이 위험을 무릅쓰고 기약 없는 여정을 이어간다. 어떻게든 안전한 곳을 찾아야 하기에.,https://images.justwatch.com/poster/256268277/s592
황무지의 괴물,-2021,"['드라마 , 스릴러 , 공포']",1시간 31분,None,55%,4.6 (2k),4.6,20,19세기 외딴 황무지에 세상과 단절된 채 살아가는 가족이 있다. 이 집의 어린 아들 디에고는 공포심을 먹고 사는 사악한 괴물로부터 자신과 어머니를 지켜낼 수 있을까?,https://images.justwatch.com/poster/259066109/s592
매트릭스,-1999,"['SF , 액션']",2시간 24분,"Lana Wachowski ,  Lilly Wachowski",93%,8.7 (1m),8.7,10000,"인간의 기억마저 AI에 의해 입력되고 삭제되는 세상, 진짜보다 더 진짜 같은 가상 현실 매트릭스. 그 속에서 진정한 현실을 인식할 수 없게 재배되는 인간들. 그 매트릭스를 빠져 나오면서 AI에게 가장 위험한 인물이 된 모피어스는 몇 안 되는 동료들과 함께 기계와의 전쟁 전후의의 폐허를 떠돌며 인류를 구할 마지막 영웅을 찾아 헤맨다. 마침내 모피어스는 낮에는 평범한 회사원 앤더슨으로, 밤에는 해커로 활동하는 청년 네오를 그로 지목한다. 모피어스의 지시대로 그를 만나게 된 네오는 두개의 알약 중 하나를 고르는 선택을 하게 되는데...",https://images.justwatch.com/poster/8668147/s592
뮌헨: 전쟁의 문턱에서,-2022,"['드라마 , 역사 , 스릴러']",2시간 9분,Christian Schwochow,79%,6.9 (14k),6.9,140,"1938년, 긴장이 흐르는 뮌헨 회담. 각자의 정부를 대표하여 서로의 맞은편에 앉은 두 옛 친구는 어쩔 수 없이 첩보 활동에 발을 담근다. 나치 독일의 비밀을 알려야 하기에.",https://images.justwatch.com/poster/260956003/s592
그렇게 난 갱스터와 사랑에 빠졌다,-2022,"['드라마 , 범죄']",2시간 59분,Maciej Kawulski,73%,6.1 (1k),6.1,10,의문의 여자가 폴란드의 전설적인 갱스터 니코뎀 '니코시' 스코타르차크의 성공과 몰락에 관해 이야기한다. 실화를 바탕으로 한 영화.,https://images.justwatch.com/poster/259342589/s592
콰이어트 플레이스,-2018,"['공포 , SF , 드라마']",1시간 31분,John Krasinski,83%,7.5 (497k),7.5,4970,"인류 종말의 초기 단계로 보이는 가까운 미래, 이미 폐쇄된 뉴욕 주에서 간신히 살아남은 부부와 세 자녀가 맨발로 숨죽인 채 시골 마을의 식료품점을 헤맨다. 작은 소리에도 민감하게 반응해 소리의 근원지를 파괴하러 달려오는 괴 생명체가 곳곳에 도사리고 있기 때문. 전 세계를 파괴해 버린 무차별적인 공격과 숨통을 조여 오는 거대한 위협 속에서 살아남기 위해 주인공 가족은 일상에서 발생하는 모든 소리를 최소화하며 위태롭게 살아간다. 숨소리조차 마음 편히 낼 수 없는 극한의 상황, 아버지 리(존 크래신스키)와 어머니 에블린(에밀리 블런트)은 아이들과 자신들의 생명을 지키기 위해 고군분투하는데...",https://images.justwatch.com/poster/48245272/s592
수호 인형,-2021,"['범죄 , 드라마 , 공포 , 음악 , 스릴러']",2시간 7분,Victor V?,60%,5.7,5.7,1,아이돌 가수의 비극적인 선택. 이 사건으로 그녀의 코러스 가수가 유명세를 얻는다. 하지만 초자연적인 사건들이 새로운 스타를 괴롭히기 시작하는데.,https://images.justwatch.com/poster/246447002/s592
브레이즌,-2022,"['스릴러 , 로맨스 , 범죄 , 드라마']",1시간 34분,Monika Mitchell,55%,4.0 (9k),4,90,미스터리 작가 그레이스 밀러는 사건의 동기를 추적하는 동물적인 감각을 타고났다. 하지만 살해당한 여동생의 사연을 밝히려면 전문가의 도움이 필요한데.,https://images.justwatch.com/poster/259475999/s592
칼루시 이야기,-2017,"['스릴러 , 드라마']",1시간 46분,Mandla Dube,69%,6.6,6.6,1,자유와 평등을 위해 목숨 바쳐 싸웠던 남아공 청년. 그는 왜 어린 나이에 형장의 이슬로 사라져야 했을까. 아파르트헤이트 철폐를 위해 절규하고 또 투쟁했던 사나이. 솔로몬 마흘랑구의 삶이 스크린에 펼쳐진다. 실화 바탕의 전기 영화,https://images.justwatch.com/poster/154387843/s592
모가디슈,-2021,"['드라마 , 스릴러 , 액션']",2시간 1분,Ryoo Seung-wan,78%,7.1 (3k),7.1,30,"유엔 가입을 위해 다수의 투표권을 지닌 아프리카 대륙에서 열심히 외교 활동을 벌이던 1990년. 소말리아의 수도 모가디슈에서도 남북의 외교전은 불이 붙는다. 한신성 주소말리아 한국 대사(김윤석)와 안기부 출신의 강대진 참사관(조인성), 북한의 림용수 대사(허준호)와 태준기 참사관(구교환)은 함정을 파거나 거짓 정보를 흘려가며 서로를 견제한다. 한편 소말리아의 상황은 불안하기 그지없다. 부패한 독재정권을 몰아내려는 반군과 정부군의 대치는 1990년 12월 30일 반군이 수도 모가디슈에 입성하면서 내전으로 번진다. 통신은 물론 항공편마저 끊겨 아수라장이 된 모가디슈. 북한 대사관 사람들은 반군의 공격으로 갈 곳을 잃고, 한신성 대사는 도움을 요청한 북한 사람들을 관저로 들이는데...",https://images.justwatch.com/poster/259455355/s592
부탁 하나만 들어줘,-2018,"['스릴러 , 코미디 , 범죄 , 드라마']",1시간 57분,Paul Feig,74%,6.8 (142k),6.8,1420,"멋진 커리어우먼, 매력적인 아내, 아름다운 엄마…  모든 걸 다 갖춘 완벽한 여자 에밀리가 사라졌다. 그리고 발견된 시체… 모든 것이 내 것이 됐다고 생각한 순간. 에밀리가 돌아왔다!",https://images.justwatch.com/poster/90894758/s592
